VISITA ORL DI CONTROLLO;20/04/2018;8;0
VISITA ORL DI CONTROLLO;20/04/2018;10;1
VISITA ORL DI CONTROLLO;20/04/2018;12;1
VISITA ORL DI CONTROLLO;20/04/2018;14;1
VISITA ORL DI CONTROLLO;20/04/2018;16;1
VISITA ORL DI CONTROLLO;21/04/2018;8;1
VISITA ORL DI CONTROLLO;21/04/2018;10;1
VISITA ORL DI CONTROLLO;21/04/2018;12;1
VISITA ORL DI CONTROLLO;21/04/2018;14;1
VISITA ORL DI CONTROLLO;21/04/2018;16;1
VISITA ORL DI CONTROLLO;22/04/2018;8;1
VISITA ORL DI CONTROLLO;22/04/2018;10;1
VISITA ORL DI CONTROLLO;22/04/2018;12;1
VISITA ORL DI CONTROLLO;22/04/2018;14;1
VISITA ORL DI CONTROLLO;22/04/2018;16;1
ESAME VESTIBOLARE;20/04/2018;8;1
ESAME VESTIBOLARE;20/04/2018;10;1
ESAME VESTIBOLARE;20/04/2018;12;1
ESAME VESTIBOLARE;20/04/2018;14;1
ESAME VESTIBOLARE;20/04/2018;16;1
ESAME VESTIBOLARE;21/04/2018;8;1
ESAME VESTIBOLARE;21/04/2018;10;1
ESAME VESTIBOLARE;21/04/2018;12;1
ESAME VESTIBOLARE;21/04/2018;14;1
ESAME VESTIBOLARE;21/04/2018;16;1
ESAME VESTIBOLARE;22/04/2018;8;1
ESAME VESTIBOLARE;22/04/2018;10;1
ESAME VESTIBOLARE;22/04/2018;12;1
ESAME VESTIBOLARE;22/04/2018;14;1
ESAME VESTIBOLARE;22/04/2018;16;1
OTOMICROSCOPIA;20/04/2018;8;1
OTOMICROSCOPIA;20/04/2018;10;1
OTOMICROSCOPIA;20/04/2018;12;1
OTOMICROSCOPIA;20/04/2018;14;1
OTOMICROSCOPIA;20/04/2018;16;1
OTOMICROSCOPIA;21/04/2018;8;1
OTOMICROSCOPIA;21/04/2018;10;1
OTOMICROSCOPIA;21/04/2018;12;1
OTOMICROSCOPIA;21/04/2018;14;1
OTOMICROSCOPIA;21/04/2018;16;1
OTOMICROSCOPIA;22/04/2018;8;1
OTOMICROSCOPIA;22/04/2018;10;1
OTOMICROSCOPIA;22/04/2018;12;1
OTOMICROSCOPIA;22/04/2018;14;1
OTOMICROSCOPIA;22/04/2018;16;1
